Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",120.885708,-63.976727,180.000000,top
"C2","0.1uF","C_0603_1608Metric",120.885708,-65.881727,180.000000,top
"C3","1uF","C_0603_1608Metric",121.393708,-78.835727,180.000000,top
"C4","0.1uF","C_0603_1608Metric",121.393708,-80.693704,180.000000,top
"C5","1uF","C_0603_1608Metric",120.855708,-91.108373,180.000000,top
"C6","0.1uF","C_0603_1608Metric",120.855708,-92.892031,180.000000,top
"C7","1uF","C_0603_1608Metric",121.393708,-104.489727,180.000000,top
"C8","0.1uF","C_0603_1608Metric",121.393708,-106.429455,180.000000,top
"C9","1uF","C_0603_1608Metric",121.012186,-116.054020,180.000000,top
"C10","0.1uF","C_0603_1608Metric",121.012186,-117.926861,180.000000,top
"C11","1uF","C_0603_1608Metric",121.012186,-128.960790,180.000000,top
"C12","0.1uF","C_0603_1608Metric",121.012186,-131.056588,180.000000,top
"C13","1uF","C_0603_1608Metric",121.012186,-141.752048,180.000000,top
"C14","0.1uF","C_0603_1608Metric",121.012186,-143.780959,180.000000,top
"C15",".1uF","C_0603_1608Metric",151.289438,-142.825064,180.000000,top
"C16",".1uF","C_0603_1608Metric",150.283528,-129.294598,180.000000,top
"C17","0.1uF","C_0603_1608Metric",159.000000,-103.000000,90.000000,top
"D1","MMSD4148","D_SOD-123",109.455708,-69.691727,0.000000,top
"D2","MMSD4148","D_SOD-123",109.455708,-72.231727,0.000000,top
"D3","MMSD4148","D_SOD-123",109.455708,-74.771727,0.000000,top
"D4","MMSD4148","D_SOD-123",109.455708,-77.311727,0.000000,top
"D5","MMSD4148","D_SOD-123",109.455708,-79.851727,0.000000,top
"D6","MMSD4148","D_SOD-123",109.455708,-82.391727,0.000000,top
"D7","MMSD4148","D_SOD-123",109.455708,-84.931727,0.000000,top
"D8","MMSD4148","D_SOD-123",109.455708,-87.471727,0.000000,top
"D9","MMSD4148","D_SOD-123",109.455708,-90.011727,0.000000,top
"D10","MMSD4148","D_SOD-123",109.455708,-92.551727,0.000000,top
"D11","MMSD4148","D_SOD-123",109.455708,-95.091727,0.000000,top
"D12","MMSD4148","D_SOD-123",109.455708,-97.659742,0.000000,top
"D13","MMSD4148","D_SOD-123",109.455708,-100.171727,0.000000,top
"D14","MMSD4148","D_SOD-123",109.455708,-102.711727,0.000000,top
"D15","MMSD4148","D_SOD-123",109.455708,-105.251727,0.000000,top
"D16","MMSD4148","D_SOD-123",109.455708,-107.791727,0.000000,top
"D17","MMSD4148","D_SOD-123",109.455708,-110.331727,0.000000,top
"D18","MMSD4148","D_SOD-123",109.455708,-112.871727,0.000000,top
"D19","MMSD4148","D_SOD-123",109.455708,-115.411727,0.000000,top
"D20","MMSD4148","D_SOD-123",109.455708,-117.951727,0.000000,top
"D21","MMSD4148","D_SOD-123",109.455708,-120.491727,0.000000,top
"D22","MMSD4148","D_SOD-123",109.455708,-123.031727,0.000000,top
"D23","MMSD4148","D_SOD-123",109.455708,-125.571727,0.000000,top
"D24","MMSD4148","D_SOD-123",109.455708,-128.111727,0.000000,top
"D25","MMSD4148","D_SOD-123",109.455708,-130.651727,0.000000,top
"D26","MMSD4148","D_SOD-123",109.455708,-133.191727,0.000000,top
"D27","MMSD4148","D_SOD-123",109.455708,-135.731727,0.000000,top
"D28","MMSD4148","D_SOD-123",109.455708,-138.271727,0.000000,top
"D29","MMSD4148","D_SOD-123",104.375708,-70.961727,0.000000,top
