Designator,Mid X,Mid Y,Rotation,Layer
C1,119.891029,-59.453721,180,top
C10,120.017507,-113.403855,180,top
C11,120.017507,-124.437784,180,top
C12,120.017507,-126.533582,180,top
C13,120.017507,-137.229042,180,top
C14,120.017507,-139.257953,180,top
C15,150.294759,-138.302058,180,top
C16,150.305321,-136.776994,180,top
C17,149.005321,-124.876994,180,top
C18,149.005321,-123.176994,180,top
C2,119.891029,-61.358721,180,top
C3,120.399029,-74.312721,180,top
C4,120.399029,-76.170698,180,top
C5,119.861029,-86.585367,180,top
C6,119.861029,-88.369025,180,top
C7,120.399029,-99.966721,180,top
C8,120.399029,-101.906449,180,top
C9,120.017507,-111.531014,180,top
D1,108.461029,-65.168721,0,top
D10,108.461029,-88.028721,0,top
D11,108.461029,-90.568721,0,top
D12,108.461029,-93.136736,0,top
D13,108.461029,-95.648721,0,top
D14,108.461029,-98.188721,0,top
D15,108.461029,-100.728721,0,top
D16,108.461029,-103.268721,0,top
D17,108.461029,-105.808721,0,top
D18,108.461029,-108.348721,0,top
D19,108.461029,-110.888721,0,top
D2,108.461029,-67.708721,0,top
D20,108.461029,-113.428721,0,top
D21,108.461029,-115.968721,0,top
D22,108.461029,-118.508721,0,top
D23,108.461029,-121.048721,0,top
D24,108.461029,-123.588721,0,top
D25,108.461029,-126.128721,0,top
D26,108.461029,-128.668721,0,top
D27,108.461029,-131.208721,0,top
D28,108.461029,-133.748721,0,top
D29,103.381029,-66.438721,0,top
D3,108.461029,-70.248721,0,top
D30,103.381029,-68.978721,0,top
D31,103.381029,-71.518721,0,top
D32,103.381029,-74.058721,0,top
D33,103.381029,-76.598721,0,top
D34,103.381029,-79.138721,0,top
D35,103.381029,-81.678721,0,top
D36,103.381029,-84.218721,0,top
D37,103.381029,-86.758721,0,top
D38,103.381029,-89.298721,0,top
D39,103.381029,-91.838721,0,top
D4,108.461029,-72.788721,0,top
D40,103.381029,-94.378721,0,top
D41,103.381029,-96.918721,0,top
D42,103.381029,-99.458721,0,top
D43,103.381029,-101.998721,0,top
D44,103.381029,-104.538721,0,top
D45,103.381029,-107.078721,0,top
D46,103.381029,-109.618721,0,top
D47,103.381029,-112.158721,0,top
D48,103.381029,-114.698721,0,top
D49,103.381029,-117.238721,0,top
D5,108.461029,-75.328721,0,top
D50,103.381029,-119.778721,0,top
D51,103.381029,-122.318721,0,top
D52,103.381029,-124.858721,0,top
D53,103.381029,-127.398721,0,top
D54,103.381029,-129.938721,0,top
D55,103.381029,-132.478721,0,top
D56,103.381029,-135.018721,0,top
D6,108.461029,-77.868721,0,top
D7,108.461029,-80.408721,0,top
D8,108.461029,-82.948721,0,top
D9,108.461029,-85.488721,0,top
FL1,154,-75.380724,270,top
R1,183.049724,-141.742605,0,top
R10,186.370354,-130.356539,0,top
R11,183.072,-129.001971,0,top
R12,186.370354,-127.816539,0,top
R13,183.072,-126.461971,0,top
R14,186.370354,-125.276539,0,top
R15,183.072,-123.921971,0,top
R16,186.370354,-122.736539,0,top
R17,183.072,-121.381971,0,top
R18,186.370354,-120.196539,0,top
R19,183.072,-118.841971,0,top
R2,186.370354,-140.516539,0,top
R20,186.370354,-117.656539,0,top
R21,183.072,-116.301971,0,top
R22,186.370354,-115.116539,0,top
R23,183.072,-113.761971,0,top
R24,186.370354,-112.576539,0,top
R25,183.072,-111.221971,0,top
R26,186.370354,-110.036539,0,top
R27,183.072,-108.681971,0,top
R28,186.370354,-107.496539,0,top
R3,183.072,-139.161971,0,top
R4,186.370354,-137.976539,0,top
R5,183.072,-136.621971,0,top
R6,186.370354,-135.436539,0,top
R7,183.072,-134.081971,0,top
R8,186.370354,-132.896539,0,top
R9,183.072,-131.541971,0,top
